"Name","PathName"
"AJRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"ALG","C:\Windows\System32\alg.exe"
"AppIDSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Appinfo","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppMgmt","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppReadiness","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"AppVClient","C:\Windows\system32\AppVClient.exe"
"AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p"
"AssignedAccessManagerSvc","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc"
"AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"AxInstSV","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"BDESVC","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BITS","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"BTAGService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"BthAvctpSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"bthserv","C:\Windows\system32\svchost.exe -k LocalService -p"
"camsvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"CertPropSvc","C:\Windows\system32\svchost.exe -k netsvcs"
"ClipSVC","C:\Windows\System32\svchost.exe -k wsappx -p"
"COMSysApp","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p"
"CscService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"defragsvc","C:\Windows\system32\svchost.exe -k defragsvc"
"DeviceAssociationService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevQueryBroker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"diagnosticshub.standardcollector.service","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"diagsvc","C:\Windows\System32\svchost.exe -k diagnostics"
"DiagTrack","C:\Windows\System32\svchost.exe -k utcsvc -p"
"DisplayEnhancementService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DmEnrollmentSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"dmwappushservice","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Dnscache","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DoSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"dot3svc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DPS","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"DsmSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DsSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DusmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Eaphost","C:\Windows\System32\svchost.exe -k netsvcs -p"
"EFS","C:\Windows\System32\lsass.exe"
"embeddedmode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EntAppSvc","C:\Windows\system32\svchost.exe -k appmodel -p"
"EventLog","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","C:\Windows\system32\svchost.exe -k LocalService -p"
"Fax","C:\Windows\system32\fxssvc.exe"
"fdPHost","C:\Windows\system32\svchost.exe -k LocalService -p"
"FDResPub","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"fhsvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache","C:\Windows\system32\svchost.exe -k LocalService -p"
"FrameServer","C:\Windows\System32\svchost.exe -k Camera"
"GoogleChromeElevationService","""C:\Program Files\Google\Chrome\Application\119.0.6045.160\elevation_service.exe"""
"gpsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"gupdate","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc"
"gupdatem","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc"
"hidserv","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HvHost","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"icssvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"IKEEXT","C:\Windows\system32\svchost.exe -k netsvcs -p"
"InstallService","C:\Windows\System32\svchost.exe -k netsvcs -p"
"iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"IpxlatCfgSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"irmon","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"KeyIso","C:\Windows\system32\lsass.exe"
"KtmRm","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"LanmanServer","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","C:\Windows\System32\svchost.exe -k NetworkService -p"
"lfsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LicenseManager","C:\Windows\System32\svchost.exe -k LocalService -p"
"lltdsvc","C:\Windows\System32\svchost.exe -k LocalService -p"
"lmhosts","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LSM","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"LxpSvc","C:\Windows\system32\svchost.exe -k netsvcs"
"MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService -p"
"mpssvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"MSDTC","C:\Windows\System32\msdtc.exe"
"MSiSCSI","C:\Windows\system32\svchost.exe -k netsvcs -p"
"msiserver","C:\Windows\system32\msiexec.exe /V"
"NaturalAuthentication","C:\Windows\system32\svchost.exe -k netsvcs -p"
"NcaSvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"NcbService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NcdAutoSetup","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Netlogon","C:\Windows\system32\lsass.exe"
"Netman","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","C:\Windows\System32\svchost.exe -k LocalService -p"
"NetSetupSvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"NetTcpPortSharing","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"NgcCtnrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NlaSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"nsi","C:\Windows\system32\svchost.exe -k LocalService -p"
"p2pimsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"p2psvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PcaSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PeerDistSvc","C:\Windows\System32\svchost.exe -k PeerDist"
"perceptionsimulation","C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe"
"PerfHost","C:\Windows\SysWow64\perfhost.exe"
"PhoneSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"pla","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"PlugPlay","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PNRPAutoReg","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PNRPsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PolicyAgent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PrintNotify","C:\Windows\system32\svchost.exe -k print"
"ProfSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"PushToInstall","C:\Windows\System32\svchost.exe -k netsvcs -p"
"QWAVE","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"RasAuto","C:\Windows\System32\svchost.exe -k netsvcs -p"
"RasMan","C:\Windows\System32\svchost.exe -k netsvcs"
"RemoteAccess","C:\Windows\System32\svchost.exe -k netsvcs"
"RemoteRegistry","C:\Windows\system32\svchost.exe -k localService -p"
"RetailDemo","C:\Windows\System32\svchost.exe -k rdxgroup"
"RmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"RpcEptMapper","C:\Windows\system32\svchost.exe -k RPCSS -p"
"RpcLocator","C:\Windows\system32\locator.exe"
"RpcSs","C:\Windows\system32\svchost.exe -k rpcss -p"
"SamSs","C:\Windows\system32\lsass.exe"
"SCardSvr","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"ScDeviceEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Schedule","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SCPolicySvc","C:\Windows\system32\svchost.exe -k netsvcs"
"SDRSVC","C:\Windows\system32\svchost.exe -k SDRSVC"
"seclogon","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SecurityHealthService","C:\Windows\system32\SecurityHealthService.exe"
"SEMgrSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"SENS","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Sense","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe"""
"SensorDataService","C:\Windows\System32\SensorDataService.exe"
"SensorService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensrSvc","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SessionEnv","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SgrmBroker","C:\Windows\system32\SgrmBroker.exe"
"SharedAccess","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SharedRealitySvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"ShellHWDetection","C:\Windows\System32\svchost.exe -k netsvcs -p"
"shpamsvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"smphost","C:\Windows\System32\svchost.exe -k smphost"
"SmsRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"SNMPTRAP","C:\Windows\System32\snmptrap.exe"
"spectrum","C:\Windows\system32\spectrum.exe"
"Spooler","C:\Windows\System32\spoolsv.exe"
"sppsvc","C:\Windows\system32\sppsvc.exe"
"SSDPSRV","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"ssh-agent","C:\Windows\System32\OpenSSH\ssh-agent.exe"
"SstpSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"StateRepository","C:\Windows\system32\svchost.exe -k appmodel -p"
"stisvc","C:\Windows\system32\svchost.exe -k imgsvc"
"StorSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"svsvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"swprv","C:\Windows\System32\svchost.exe -k swprv"
"SysMain","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SystemEventsBroker","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"TabletInputService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TapiSrv","C:\Windows\System32\svchost.exe -k NetworkService -p"
"TermService","C:\Windows\System32\svchost.exe -k NetworkService"
"Themes","C:\Windows\System32\svchost.exe -k netsvcs -p"
"TieringEngineService","C:\Windows\system32\TieringEngineService.exe"
"TimeBrokerSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"TokenBroker","C:\Windows\system32\svchost.exe -k netsvcs -p"
"TrkWks","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TrustedInstaller","C:\Windows\servicing\TrustedInstaller.exe"
"tzautoupdate","C:\Windows\system32\svchost.exe -k LocalService -p"
"UevAgentService","C:\Windows\system32\AgentService.exe"
"UmRdpService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"upnphost","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UserManager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UsoSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"VacSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"VaultSvc","C:\Windows\system32\lsass.exe"
"vds","C:\Windows\System32\vds.exe"
"VGAuthService","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
"VM3DService","C:\Windows\system32\vm3dservice.exe"
"vmicguestinterface","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicheartbeat","C:\Windows\system32\svchost.exe -k ICService -p"
"vmickvpexchange","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicrdv","C:\Windows\system32\svchost.exe -k ICService -p"
"vmicshutdown","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmictimesync","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vmicvmsession","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicvss","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"VMTools","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
"vmvss","C:\Windows\system32\dllhost.exe /Processid:{B38A5DCB-4023-4056-BFDE-B5EF0234EF7A}"
"VSS","C:\Windows\system32\vssvc.exe"
"W32Time","C:\Windows\system32\svchost.exe -k LocalService"
"WaaSMedicSvc","C:\Windows\system32\svchost.exe -k wusvcs -p"
"WalletService","C:\Windows\System32\svchost.exe -k appmodel -p"
"WarpJITSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"wbengine","""C:\Windows\system32\wbengine.exe"""
"WbioSrvc","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"Wcmsvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"wcncsvc","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"WdiServiceHost","C:\Windows\System32\svchost.exe -k LocalService -p"
"WdiSystemHost","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WdNisSvc","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23100.2009-0\NisSrv.exe"""
"WebClient","C:\Windows\system32\svchost.exe -k LocalService -p"
"Wecsvc","C:\Windows\system32\svchost.exe -k NetworkService -p"
"WEPHOSTSVC","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
"wercplsupport","C:\Windows\System32\svchost.exe -k netsvcs -p"
"WerSvc","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"WFDSConMgrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WiaRpc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WinDefend","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23100.2009-0\MsMpEng.exe"""
"WinHttpAutoProxySvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Winmgmt","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WinRM","C:\Windows\System32\svchost.exe -k NetworkService -p"
"wisvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WlanSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"wlidsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wlpasvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WManSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wmiApSrv","C:\Windows\system32\wbem\WmiApSrv.exe"
"WMPNetworkSvc","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"workfolderssvc","C:\Windows\System32\svchost.exe -k LocalService -p"
"WpcMonSvc","C:\Windows\system32\svchost.exe -k LocalService"
"WPDBusEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"WpnService","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wscsvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WSearch","C:\Windows\system32\SearchIndexer.exe /Embedding"
"wuauserv","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WwanSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"XblAuthManager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XblGameSave","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxGipSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxNetApiSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"BcastDVRUserService_36063","C:\Windows\system32\svchost.exe -k BcastDVRUserService"
"BluetoothUserService_36063","C:\Windows\system32\svchost.exe -k BthAppGroup -p"
"CaptureService_36063","C:\Windows\system32\svchost.exe -k LocalService -p"
"cbdhsvc_36063","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPUserSvc_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"ConsentUxUserSvc_36063","C:\Windows\system32\svchost.exe -k DevicesFlow"
"DevicePickerUserSvc_36063","C:\Windows\system32\svchost.exe -k DevicesFlow"
"DevicesFlowUserSvc_36063","C:\Windows\system32\svchost.exe -k DevicesFlow"
"MessagingService_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"OneSyncSvc_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"PimIndexMaintenanceSvc_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"PrintWorkflowUserSvc_36063","C:\Windows\system32\svchost.exe -k PrintWorkflow"
"UnistoreSvc_36063","C:\Windows\System32\svchost.exe -k UnistackSvcGroup"
"UserDataSvc_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"WpnUserService_36063","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
